Time_sec1	Voltage_A0TG	Time_sec2	Voltage_A1TG
0	1.35750007629395	0.006237	3.64825010299683
0.022556	1.35637509822845	0.028789	3.64825010299683
0.045109	1.3556250333786	0.051341	3.64812517166138
0.067664	1.35850012302399	0.073897	3.64625024795532
0.09023	1.35587501525879	0.096467	3.64537525177002
0.112787	1.35587501525879	0.119026	3.64462518692017
0.135346	1.35462510585785	0.141579	3.64550018310547
0.157903	1.35600006580353	0.164155	3.6470000743866
0.180487	1.3556250333786	0.186725	3.647625207901
0.203045	1.3556250333786	0.209296	3.64812517166138
0.225621	1.35550010204315	0.231854	3.647625207901
0.248182	1.35437500476837	0.254414	3.64600014686584
0.270738	1.35450005531311	0.27697	3.64412522315979
0.293294	1.35575008392334	0.299527	3.64475011825562
0.315852	1.35612511634827	0.322091	3.64575028419495
0.338412	1.35600006580353	0.344645	3.64687514305115
0.360965	1.35450005531311	0.367198	3.64725017547607
0.383553	1.35512506961823	0.389812	3.64662528038025
0.406152	1.35537505149841	0.412392	3.6458752155304
0.428734	1.35775005817413	0.434973	3.64512515068054
0.451309	1.35400009155273	0.457548	3.64400029182434
0.473879	1.35525012016296	0.480118	3.64450025558472
0.496449	1.35412502288818	0.502687	3.64537525177002
0.519022	1.35462510585785	0.525256	3.64612507820129
0.541576	1.35837507247925	0.547814	3.64687514305115
0.564134	1.35437500476837	0.570366	3.6467502117157
0.586691	1.35437500476837	0.592923	3.64500021934509
0.609239	1.3547500371933	0.615501	3.64287519454956
0.631838	1.27775001525879	0.638077	3.63700008392334
0.654397	1.12525010108948	0.660656	3.62525010108948
0.676985	0.983000040054321	0.683217	3.59525012969971
0.69954	0.865750014781952	0.705777	3.54562520980835
0.722099	0.756750047206879	0.728337	3.47412514686584
0.744656	0.661750018596649	0.750889	3.38662505149841
0.767213	0.572625041007996	0.77344	3.29562520980835
0.789821	0.494250029325485	0.796071	3.19337511062622
0.812395	0.420125007629395	0.818623	3.09512519836426
0.834957	0.360250025987625	0.84119	2.99237513542175
0.857516	0.30375000834465	0.863748	2.89612507820129
0.880078	0.259125024080276	0.886316	2.79787516593933
0.902636	0.217250004410744	0.908873	2.70587515830994
0.925199	0.178000003099442	0.931432	2.61387515068054
0.947756	0.141249999403954	0.953989	2.53200006484985
0.970308	0.10725000500679	0.976546	2.45175004005432
0.992882	0.0755000039935112	0.999114	2.3813750743866
1.015434	0.0512500032782555	1.021673	2.31487512588501
1.037997	0.0287500005215406	1.044229	2.2578752040863
1.060549	0.0126250004395843	1.066787	2.20512509346008
1.083106	0.00375000014901161	1.089338	2.15900015830994
1.105663	0.00150000001303852	1.111896	2.1157500743866
1.12822	0.000375000003259629	1.134452	2.07987499237061
1.150771	0.000875000027008355	1.157009	2.0466251373291
1.17337	0.00162500003352761	1.179603	2.01937508583069
1.195928	0.000750000006519258	1.20216	1.99512505531311
