Time_sec1	Voltage_A0TG	Time_sec2	Voltage_A1TG
0	0.39987501502037	0.006228	3.6100001335144
0.022561	0.400250017642975	0.028794	3.6100001335144
0.045116	0.400625020265579	0.051354	3.61125016212463
0.067674	0.400625020265579	0.073908	3.61212515830994
0.090247	0.400250017642975	0.096479	3.61337518692017
0.112795	0.400625020265579	0.119033	3.61362528800964
0.135354	0.399750024080276	0.141592	3.61187505722046
0.157911	0.400250017642975	0.164144	3.61125016212463
0.180467	0.399750024080276	0.186699	3.61037516593933
0.203021	0.404500007629395	0.209259	3.60975027084351
0.225578	0.400250017642975	0.231811	3.61075019836426
0.248141	0.401000022888184	0.254373	3.61212515830994
0.270693	0.400375008583069	0.276927	3.61325025558472
0.29325	0.400250017642975	0.299482	3.61312508583069
0.315803	0.399625033140182	0.322039	3.61175012588501
0.338365	0.400125026702881	0.344597	3.60975027084351
0.360939	0.400625020265579	0.367172	3.60937523841858
0.383507	0.400375008583069	0.389739	3.61025023460388
0.406059	0.400625020265579	0.412293	3.61125016212463
0.428622	0.401750028133392	0.434855	3.61262512207031
0.451179	0.400750011205673	0.457412	3.61312508583069
0.473734	0.399500012397766	0.479971	3.61262512207031
0.496291	0.400125026702881	0.502527	3.61175012588501
0.518851	0.39987501502037	0.525084	3.60975027084351
0.541408	0.400125026702881	0.547657	3.60987520217896
0.563968	0.400375008583069	0.570207	3.6100001335144
0.586528	0.401125013828278	0.59276	3.61137509346008
0.609084	0.400000005960464	0.615317	3.61275005340576
0.631656	0.401000022888184	0.637889	3.61287522315979
0.65421	0.399125009775162	0.660447	3.61200022697449
0.676768	0.400250017642975	0.68302	3.61137509346008
0.699343	0.398500025272369	0.705576	3.60975027084351
0.721895	0.400375008583069	0.728141	3.60950016975403
0.744459	0.399625033140182	0.750696	3.61012506484985
0.767014	0.401250004768372	0.773247	3.61137509346008
0.78957	0.400000005960464	0.795802	3.61275005340576
0.81215	0.400500029325485	0.818388	3.61275005340576
0.834706	0.400250017642975	0.840938	3.61187505722046
0.85728	0.400125026702881	0.863519	3.61050009727478
0.879843	0.401250004768372	0.886075	3.60950016975403
0.902395	0.400625020265579	0.908633	3.60925006866455
0.924951	0.400000005960464	0.931189	3.61062526702881
0.947508	0.400750011205673	0.95374	3.61200022697449
0.970061	0.401000022888184	0.976294	3.61287522315979
0.992675	0.400625020265579	0.998911	3.61250019073486
1.015244	0.401125013828278	1.021483	3.61175012588501
1.037795	0.400250017642975	1.044033	3.61100006103516
1.060359	0.399375021457672	1.066592	3.60975027084351
1.08291	0.400375008583069	1.089148	3.6100001335144
1.105468	0.398000031709671	1.111705	3.61087512969971
1.128025	0.397000014781952	1.134258	3.61212515830994
1.150583	0.401625007390976	1.156815	3.61287522315979
1.173134	0.398500025272369	1.179371	3.61175012588501
1.195692	0.400750011205673	1.201919	3.61125016212463
1.218267	0.398625016212463	1.2245	3.60950016975403
1.240836	0.400000005960464	1.247069	3.60900020599365
1.263398	0.399500012397766	1.269635	3.60987520217896
1.285955	0.399750024080276	1.292188	3.61112523078918
1.308513	0.400500029325485	1.314746	3.61225008964539
1.33107	0.400000005960464	1.337303	3.61262512207031
1.353639	0.400375008583069	1.35988	3.61262512207031
1.376215	0.400250017642975	1.382448	3.61100006103516
1.398771	0.399125009775162	1.405004	3.60937523841858
1.421325	0.40087503194809	1.427569	3.60925006866455
1.443888	0.400500029325485	1.450121	3.61037516593933
1.466443	0.399375021457672	1.472676	3.61200022697449
1.488993	0.400500029325485	1.495225	3.61225008964539
1.51155	0.400000005960464	1.517782	3.61187505722046
1.534118	0.399000018835068	1.540355	3.61175012588501
1.556674	0.400000005960464	1.562912	3.60975027084351
1.579237	0.400250017642975	1.585469	3.60950016975403
1.601784	0.400500029325485	1.608012	3.60950016975403
1.624339	0.400125026702881	1.630577	3.61050009727478
1.646895	0.401000022888184	1.653128	3.61212515830994
1.669453	0.40412500500679	1.675685	3.61250019073486
1.692006	0.400500029325485	1.698245	3.61237525939941
1.714579	0.400125026702881	1.720817	3.61087512969971
1.737135	0.400125026702881	1.743368	3.60975027084351
1.759693	0.400625020265579	1.765926	3.60937523841858
1.782244	0.400375008583069	1.788482	3.60975027084351
1.804801	0.399625033140182	1.811038	3.61050009727478
1.827368	0.401000022888184	1.8336	3.61175012588501
1.849918	0.400500029325485	1.856156	3.61225008964539
1.872478	0.400500029325485	1.878715	3.61187505722046
1.895036	0.399125009775162	1.901273	3.61062526702881
1.917606	0.399500012397766	1.923838	3.60950016975403
1.940158	0.399250030517578	1.94639	3.60862517356873
1.96273	0.402125030755997	1.968967	3.60975027084351
1.985311	0.399625033140182	1.991556	3.61112523078918
2.007878	0.400125026702881	2.014123	3.61150026321411
2.030453	0.401250004768372	2.036686	3.61225008964539
2.053024	0.399500012397766	2.059261	3.61125016212463
2.075586	0.40087503194809	2.081819	3.60987520217896
2.098156	0.398625016212463	2.104389	3.60900020599365
2.120708	0.400000005960464	2.12694	3.60875010490417
2.143262	0.39987501502037	2.149499	3.60987520217896
2.165819	0.400750011205673	2.172051	3.61100006103516
2.188375	0.400375008583069	2.194608	3.61237525939941
2.210931	0.400125026702881	2.217163	3.61187505722046
2.233505	0.400500029325485	2.239743	3.61112523078918
2.256061	0.400125026702881	2.262294	3.60962510108948
2.278619	0.402625024318695	2.284852	3.6091251373291
2.30119	0.399500012397766	2.307422	3.60900020599365
2.323741	0.399125009775162	2.329978	3.61037516593933
2.346298	0.401625007390976	2.352549	3.61112523078918
2.368879	0.40087503194809	2.375111	3.61037516593933
