Time_sec1	Voltage_A0TG	Time_sec2	Voltage_A1TG
0	0.387125015258789	0.006237	3.61912512779236
0.022557	0.387875020503998	0.02879	3.6183750629425
0.045114	0.38850000500679	0.051347	3.61862516403198
0.067671	0.388250023126602	0.073904	3.61975026130676
0.090237	0.388625025749207	0.096475	3.62112522125244
0.112796	0.388625025749207	0.119029	3.62225008010864
0.135356	0.387500017881393	0.141588	3.62175011634827
0.157913	0.387500017881393	0.164146	3.62025022506714
0.180465	0.387750029563904	0.186703	3.61937522888184
0.203021	0.387250006198883	0.209254	3.6183750629425
0.225579	0.384750008583069	0.231811	3.61925005912781
0.248136	0.386125028133392	0.254369	3.62087512016296
0.27069	0.389000028371811	0.276922	3.62137508392334
0.293245	0.388000011444092	0.299491	3.62200021743774
0.315812	0.388000011444092	0.322045	3.62162518501282
0.338365	0.387500017881393	0.344599	3.62000012397766
0.360937	0.387500017881393	0.36717	3.61950016021729
0.383484	0.388000011444092	0.389719	3.61850023269653
0.406041	0.388875007629395	0.412273	3.61925005912781
0.428597	0.387250006198883	0.434834	3.62062525749207
0.451155	0.388375014066696	0.457392	3.62150025367737
0.473717	0.388125032186508	0.479979	3.62212514877319
0.496318	0.389000028371811	0.502551	3.62112522125244
0.51888	0.388000011444092	0.525118	3.62012505531311
0.541439	0.387625008821487	0.547677	3.61900019645691
0.563998	0.387750029563904	0.570231	3.61900019645691
0.586554	0.387750029563904	0.592787	3.62025022506714
0.60912	0.386250019073486	0.615357	3.62112522125244
0.631691	0.388375014066696	0.637929	3.62225008010864
0.654256	0.38850000500679	0.660488	3.62187528610229
0.676814	0.389000028371811	0.683047	3.62075018882751
0.699365	0.387875020503998	0.705603	3.62012505531311
0.721922	0.387250006198883	0.728159	3.61875009536743
0.744478	0.387500017881393	0.75071	3.61887526512146
0.767044	0.388000011444092	0.77332	3.62025022506714
0.789676	0.391500025987625	0.795909	3.62137508392334
0.812247	0.388375014066696	0.818481	3.62212514877319
0.834799	0.388625025749207	0.841031	3.62225008010864
0.857376	0.388000011444092	0.86361	3.62012505531311
0.87993	0.387625008821487	0.886168	3.61962509155273
