Time_sec1	Voltage_A0TG	Time_sec2	Voltage_A1TG
0	0.417000025510788	0.006233	3.65750026702881
0.022553	0.419375032186508	0.028785	3.65787506103516
0.045106	0.417500019073486	0.051343	3.65937519073486
0.067677	0.417000025510788	0.073909	3.65975022315979
0.090249	0.417000025510788	0.096481	3.65937519073486
0.112796	0.416750013828278	0.119034	3.65887522697449
0.135355	0.417000025510788	0.141588	3.65750026702881
0.157908	0.415875017642975	0.164141	3.65650010108948
0.180466	0.417000025510788	0.186698	3.65637516975403
0.203017	0.417125016450882	0.209254	3.65750026702881
0.225572	0.418000012636185	0.231805	3.65837526321411
0.24813	0.418250024318695	0.254362	3.65812516212463
0.270687	0.41650003194809	0.276921	3.65962529182434
0.293242	0.41762501001358	0.299474	3.65737509727478
0.315811	0.416250020265579	0.322087	3.6568751335144
0.338414	0.417125016450882	0.344646	3.65550017356873
0.360969	0.418000012636185	0.367202	3.65625023841858
0.383525	0.418375015258789	0.389758	3.65712523460388
0.406078	0.416250020265579	0.412311	3.65787506103516
0.428636	0.41762501001358	0.434868	3.65912508964539
0.451209	0.417000025510788	0.457442	3.65850019454956
0.473761	0.417250007390976	0.479999	3.65737509727478
0.496318	0.417375028133392	0.502551	3.65625023841858
0.518875	0.416375011205673	0.525107	3.65537524223328
0.541433	0.417375028133392	0.547673	3.65562510490417
0.563992	0.417125016450882	0.570229	3.65675020217896
0.586548	0.419875025749207	0.592781	3.65775012969971
0.609106	0.419375032186508	0.615338	3.65837526321411
0.631658	0.416250020265579	0.637891	3.65837526321411
0.654212	0.416625022888184	0.660449	3.65712523460388
0.676768	0.41650003194809	0.683001	3.65562510490417
0.699326	0.41650003194809	0.705558	3.65450024604797
0.721882	0.414625018835068	0.72812	3.6551251411438
0.74444	0.417500019073486	0.750677	3.65587520599365
0.766996	0.418000012636185	0.773229	3.65700006484985
0.789553	0.416625022888184	0.79578	3.65775012969971
0.812118	0.417000025510788	0.818356	3.65750026702881
0.834676	0.415375024080276	0.840913	3.65525007247925
0.857247	0.417250007390976	0.863481	3.6551251411438
0.879801	0.418375015258789	0.886034	3.65300011634827
0.902356	0.368750005960464	0.908593	3.63975024223328
0.924911	0.309125006198883	0.931161	3.5778751373291
0.94751	0.261500000953674	0.953744	3.4528751373291
0.970078	0.217000007629395	0.976311	3.30037522315979
0.992644	0.177125006914139	0.998882	3.13337516784668
1.015218	0.139250010251999	1.021455	2.98787522315979
1.037766	0.104750007390976	1.043999	2.86137509346008
1.060326	0.0718750059604645	1.066558	2.7653751373291
1.082877	0.0472500026226044	1.089116	2.68925023078918
1.105435	0.0237500015646219	1.111681	2.63437509536743
1.128001	0.00775000033900142	1.134233	2.5917501449585
1.150556	0.00287500023841858	1.156789	2.56000018119812
1.17313	0.00125000008847564	1.179368	2.53337502479553
1.19569	0.000750000006519258	1.201922	2.5147500038147
1.218248	-0.000375000003259629	1.224481	2.5006251335144
1.240801	0.000875000027008355	1.247034	2.49025011062622
1.263356	0.00125000008847564	1.269594	2.48400020599365
1.285913	0.000250000011874363	1.292146	2.48012518882751
1.308509	0.00350000010803342	1.314748	2.47812509536743
1.331076	0.00312500004656613	1.337309	2.475750207901
1.353634	0.00175000005401671	1.359868	2.47437500953674
