Time_sec1	Voltage_A0TG	Time_sec2	Voltage_A1TG
0	1.07862508296967	0.006237	3.64437508583069
0.022558	1.07887506484985	0.028791	3.64400029182434
0.045115	1.07937502861023	0.051347	3.64375019073486
0.067671	1.07887506484985	0.073908	3.64475011825562
0.090229	1.07987499237061	0.096462	3.64600014686584
0.112802	1.07937502861023	0.119035	3.6467502117157
0.135361	1.07925009727478	0.141588	3.64600014686584
0.157918	1.07925009727478	0.164156	3.64575028419495
0.180475	1.07862508296967	0.186708	3.64425015449524
0.203031	1.07925009727478	0.209264	3.64375019073486
0.225579	1.07850003242493	0.231811	3.64350008964539
0.248154	1.08112502098083	0.254389	3.64500021934509
0.270705	1.07975006103516	0.276973	3.64650011062622
0.293297	1.07887506484985	0.29953	3.64662528038025
0.315855	1.07925009727478	0.322088	3.64625024795532
0.338411	1.07925009727478	0.344644	3.6458752155304
0.360966	1.07912504673004	0.367199	3.64387512207031
0.38352	1.07912504673004	0.389754	3.64362525939941
0.406084	1.07762503623962	0.412317	3.64400029182434
0.428635	1.07850003242493	0.434873	3.64500021934509
0.451193	1.07837510108948	0.457427	3.64612507820129
0.473752	1.07887506484985	0.479984	3.64687514305115
0.496307	1.07875001430511	0.502547	3.64650011062622
0.518865	1.07875001430511	0.525102	3.64475011825562
0.54142	1.07937502861023	0.547653	3.64412522315979
0.563976	1.07787501811981	0.57021	3.64287519454956
0.586556	1.0789999961853	0.592789	3.64437508583069
0.609116	1.0789999961853	0.615357	3.64537525177002
0.63168	1.07700002193451	0.637913	3.64650011062622
0.654238	1.07937502861023	0.66047	3.64687514305115
0.67679	1.07950007915497	0.683027	3.64625024795532
0.699347	1.07887506484985	0.705581	3.64525008201599
0.721901	1.07937502861023	0.728134	3.64400029182434
0.744458	1.07862508296967	0.75069	3.64350008964539
0.767014	1.07950007915497	0.773251	3.64412522315979
0.789585	1.07925009727478	0.795823	3.64600014686584
0.812143	1.078125	0.818376	3.64650011062622
0.834705	1.07875001430511	0.840937	3.64687514305115
0.857256	1.07850003242493	0.863493	3.64575028419495
