Time_sec1	Voltage_A0TG	Time_sec2	Voltage_A1TG
0	1.09325003623962	0.006232	3.6470000743866
0.022557	1.09425008296967	0.02879	3.64800024032593
0.045114	1.09362506866455	0.051347	3.64900016784668
0.067675	1.09450006484985	0.073912	3.65012526512146
0.090233	1.09737503528595	0.096465	3.65012526512146
0.11279	1.09375	0.119024	3.65062522888184
0.135349	1.09375	0.141582	3.64900016784668
0.157902	1.09300005435944	0.164139	3.64825010299683
0.180458	1.09387505054474	0.186698	3.64775013923645
0.203023	1.09350001811981	0.209255	3.64800024032593
0.22558	1.09500002861023	0.231824	3.64912509918213
0.248144	1.09400010108948	0.254377	3.64987516403198
0.270698	1.09412503242493	0.276931	3.65075016021729
0.293253	1.09325003623962	0.299481	3.65050005912781
0.315802	1.0928750038147	0.322036	3.64912509918213
0.33836	1.0928750038147	0.344593	3.64837527275085
0.360913	1.09375	0.367141	3.64750027656555
0.383462	1.09412503242493	0.389689	3.64775013923645
0.406025	1.09325003623962	0.412258	3.64987516403198
0.428595	1.09337508678436	0.434832	3.65025019645691
0.451152	1.09437501430511	0.457386	3.65075016021729
0.473711	1.0928750038147	0.479944	3.65025019645691
0.496262	1.09350001811981	0.5025	3.6487500667572
0.518819	1.09325003623962	0.525057	3.64812517166138
0.541376	1.09112501144409	0.547604	3.647625207901
0.563936	1.0928750038147	0.570169	3.64812517166138
0.586505	1.09325003623962	0.592742	3.6496250629425
0.609087	1.09450006484985	0.615323	3.65112519264221
0.631654	1.09350001811981	0.637895	3.65062522888184
0.654227	1.09387505054474	0.660459	3.64975023269653
0.676793	1.09275007247925	0.683031	3.6485002040863
0.699352	1.09325003623962	0.705589	3.647625207901
0.721914	1.09300005435944	0.728152	3.64775013923645
0.744483	1.09012508392334	0.750715	3.64887523651123
0.767052	1.09412503242493	0.77329	3.65000009536743
0.789611	1.09312510490417	0.795849	3.65075016021729
0.812171	1.09312510490417	0.818404	3.65062522888184
0.834729	1.09375	0.840961	3.64925026893616
0.857281	1.09250009059906	0.863519	3.64812517166138
0.879838	1.09375	0.88607	3.64775013923645
0.902401	1.09437501430511	0.908633	3.64750027656555
0.924957	1.09400010108948	0.93119	3.64912509918213
0.947512	1.09325003623962	0.953749	3.65000009536743
0.970068	1.09387505054474	0.976318	3.65037512779236
0.992655	1.09400010108948	0.998888	3.64987516403198
1.015214	1.09275007247925	1.021446	3.64387512207031
1.03777	0.960625052452087	1.044007	3.57625007629395
1.060327	0.832000017166138	1.06656	3.34150004386902
1.082885	0.728250026702881	1.089117	3.02662515640259
1.105441	0.630625009536743	1.111675	2.68350005149841
1.127995	0.550999999046326	1.134234	2.39462518692017
1.150568	0.476375013589859	1.1568	2.15225005149841
1.173115	0.410625010728836	1.179348	1.97950005531311
1.195673	0.348875015974045	1.201916	1.84787511825562
1.218237	0.293125003576279	1.224474	1.75625002384186
1.240802	0.240875005722046	1.247035	1.69675004482269
1.263358	0.199375003576279	1.269592	1.65612506866455
1.285915	0.160625010728836	1.292148	1.63412511348724
1.30847	0.130375012755394	1.314703	1.62200009822845
1.331024	0.101125001907349	1.337271	1.61600005626678
1.353593	0.0745000019669533	1.359826	1.61300003528595
1.376146	0.0490000024437904	1.38238	1.61187505722046
1.398702	0.0242500007152557	1.404935	1.61050009727478
1.421255	0.002125000115484	1.427488	1.60875010490417
1.443806	0.00362500012852252	1.450039	1.60550010204315
1.466362	0.0020000000949949	1.472595	1.60050010681152
1.488914	0.00387500016950071	1.495146	1.59362506866455
1.511467	0.002125000115484	1.5177	1.5845000743866
1.534023	0.0022500001359731	1.540255	1.57312512397766
1.556575	0.00525000039488077	1.562813	1.56125009059906
1.579132	0.000625000044237822	1.585369	1.55025005340576
1.601691	0.000375000003259629	1.607944	1.5402500629425
1.624275	0.000500000023748726	1.630503	1.53112506866455
1.646839	0.00262500019744039	1.653077	1.52437508106232
1.669388	0.00387500016950071	1.675626	1.51775002479553
1.691949	0.0022500001359731	1.698182	1.51075005531311
1.714508	0.00150000001303852	1.72074	1.50412511825562
1.737081	0.000125000005937181	1.743319	1.49837505817413
1.759639	-0.00262500019744039	1.765877	1.49325001239777
1.782196	0.00137500010896474	1.788428	1.49100005626678
1.804753	0.000125000005937181	1.810986	1.48912501335144
1.827307	0.00662500038743019	1.833545	1.48812508583069
1.849867	0.00400000018998981	1.856119	1.48737502098083
1.87244	0.00362500012852252	1.878673	1.48562502861023
1.894997	0.00162500003352761	1.90123	1.48437511920929
1.917567	0.000250000011874363	1.923804	1.48387503623962
1.940123	0.000750000006519258	1.946356	1.48425006866455
1.96268	0.000875000027008355	1.968911	1.48587512969971
1.985256	0.00100000004749745	1.991489	1.48987507820129
2.007787	0.00262500019744039	2.014025	1.4962500333786
2.030361	0.00312500004656613	2.036594	1.5017501115799
2.052913	0.0022500001359731	2.059145	1.51025009155273
2.075471	0.00137500010896474	2.081705	1.52087509632111
2.098024	-0.000250000011874363	2.104261	1.53462505340576
2.12058	0.000750000006519258	2.126813	1.55062508583069
2.143137	0.000750000006519258	2.149369	1.572625041008
2.165693	0.00112500006798655	2.171926	1.59775006771088
2.188246	0.00362500012852252	2.194484	1.63087511062622
2.210806	0.00737500051036477	2.217038	1.6736251115799
2.233365	0.00112500006798655	2.239598	1.73187506198883
2.255924	0	2.262156	1.8032500743866
2.278477	-0.00187500007450581	2.284715	1.89362514019012
2.301035	0.00325000006705523	2.307273	1.98687505722046
2.32361	0.000750000006519258	2.329843	2.08737516403198
2.346163	0.00162500003352761	2.352406	2.17512512207031
